Date,Breakfast,Lunch,Dinner
8/29/22,439,941,934
8/30/22,377,955,632
8/31/22,333,1084,665
9/1/22,328,878,538
9/2/22,268,811,689
9/3/22,347,595,226
9/4/22,254,401,503
9/5/22,225,636,940
9/6/22,368,850,742
9/7/22,326,885,726
9/8/22,329,789,690
9/9/22,290,888,406
9/10/22,290,762,408
9/11/22,235,537,473
9/12/22,260,835,972
9/13/22,299,791,1082
9/14/22,315,829,676
9/15/22,283,848,655
9/16/22,225,750,464
9/17/22,327,686,316
9/18/22,256,429,592
9/19/22,252,890,959
9/20/22,298,724,686
9/21/22,264,799,826
9/22/22,268,827,640
9/23/22,235,845,441
9/24/22,345,617,316
9/25/22,218,483,460
9/26/22,269,876,935
9/27/22,292,728,526
9/28/22,305,853,774
9/29/22,282,865,627
9/30/22,239,819,473
10/1/22,308,683,263
10/2/22,252,494,417
10/3/22,278,863,1042
10/4/22,281,811,710
10/5/22,275,901,610
10/6/22,315,810,703
10/7/22,254,965,504
10/8/22,368,600,216
10/9/22,253,493,584
10/10/22,282,919,1008
10/11/22,281,844,712
10/12/22,317,859,860
10/13/22,307,850,570
10/14/22,239,663,235
10/15/22,225,502,331
10/16/22,186,366,362
10/17/22,187,584,954
10/18/22,367,812,1010
10/19/22,307,891,701
10/20/22,299,971,726
10/21/22,303,939,467
10/22/22,457,706,420
10/23/22,298,480,523
10/24/22,293,934,1005
10/25/22,282,849,665
10/26/22,295,906,806
10/27/22,279,863,756
10/28/22,430,1079,743
10/29/22,380,816,525
10/30/22,259,653,550
10/31/22,246,986,1056
11/1/22,264,820,705
11/2/22,261,912,667
11/3/22,245,859,788
11/4/22,227,928,540
11/5/22,347,676,253
11/6/22,387,470,593
11/7/22,284,870,932
11/8/22,270,796,475
11/9/22,304,885,853
11/10/22,283,893,816
11/11/22,297,883,470
11/12/22,362,635,270
11/13/22,269,525,422
11/14/22,286,991,1101
11/15/22,259,896,789
11/16/22,291,878,789
11/17/22,229,907,578
11/18/22,245,834,351
11/19/22,284,663,288
11/20/22,268,436,404
11/21/22,236,790,795
11/22/22,223,605,324
11/23/22,87,167,0
11/24/22,0,0,0
11/25/22,0,0,0
11/26/22,0,0,0
11/27/22,0,0,343
11/28/22,267,172,0
